channel_id,data_id
58,3
59,4
60,5
61,6
62,7
63,8
64,10
65,1
66,2
67,9
68,31
69,32
1,8
2,9
3,10
4,12
5,14
6,15
7,15
8,17
9,17
10,17
11,20
12,21
13,13
14,22
15,22
16,25
17,25
18,26
19,26
20,24
21,24
22,16
23,16
24,16
25,27
26,27
27,28
28,28
29,18
30,29
31,23
32,6
33,7
34,30
35,11
36,19
37,31
38,32
39,34
40,35
41,36
42,36
43,37
44,37
45,39
46,40
47,43
48,44
49,44
50,42
51,38
52,45
53,41
54,8
55,10
56,46
57,33
