data_id,resource_id
1,1
2,2
3,3
4,4
5,5
6,2
7,1
8,6
9,3
10,7
11,3
12,2
14,1
19,7
11,3
11,3
11,3
11,3
11,3
11,3
11,3
30,6
11,3
8,6
10,7
31,4
32,5
33,5
34,6
35,7
33,5
33,5
33,5
33,5
33,5
33,5
46,4
33,5
