resource_id,log_entry_id,log_variable_id,log_variable_value
5,105,54,1880-01-01/1880-12-31
5,106,49,2017-01-06-01:07:16
5,106,50,self_check
5,106,51,ISO_date_format-(YYYY-MM-DD)
5,106,52,EXACT
5,106,53,eventDate
5,106,54,1963-09-01/1963-09-30
5,107,49,2017-01-06-01:07:16
5,107,50,self_check
5,107,51,ISO_date_format-(YYYY-MM-DD)
5,107,52,EXACT
5,107,53,eventDate
5,107,54,1931-09-01/1931-09-30
5,108,49,2017-01-06-01:07:16
5,108,50,self_check
5,108,51,ISO_date_format-(YYYY-MM-DD)
5,108,52,EXACT
5,108,53,eventDate
5,108,54,1880-01-01/1880-12-31
5,109,49,2017-01-06-01:07:16
5,109,50,self_check
5,109,51,ISO_date_format-(YYYY-MM-DD)
5,109,52,EXACT
5,109,53,eventDate
5,109,54,1904-06-01/1904-06-30
5,110,59,2017-01-06-01:07:16
5,110,60,17584384
5,110,61,eventDate
5,110,62,5/27/50
5,110,63,1950-05-27
5,111,64,2017-01-06-01:07:16
5,111,65,ACCEPTED
5,111,66,17584384
5,112,64,2017-01-06-01:07:16
5,112,65,ACCEPTED
5,112,66,54670823
5,113,64,2017-01-06-01:07:16
5,113,65,ACCEPTED
5,113,66,39038959
5,114,64,2017-01-06-01:07:16
5,114,65,ACCEPTED
5,114,66,26048214
5,115,64,2017-01-06-01:07:16
5,115,65,ACCEPTED
5,115,66,15214240
5,116,64,2017-01-06-01:07:16
5,116,65,ACCEPTED
5,116,66,33754619
5,117,64,2017-01-06-01:07:16
5,117,65,UNABLE-to-validate
5,117,66,21958701
5,118,64,2017-01-06-01:07:16
5,118,65,UNABLE-to-validate
5,118,66,76993653
5,119,64,2017-01-06-01:07:16
5,119,65,UNABLE-to-validate
5,119,66,13176094
5,120,64,2017-01-06-01:07:16
5,120,65,UNABLE-to-validate
5,120,66,26816013
5,121,67,2017-01-06-01:07:16
5,121,68,6
5,121,69,demo_output_name_date_val.csv
5,122,70,2017-01-06-01:07:16
5,122,71,4
5,122,72,demo_output_name_date_val.csv
