port_id,alias
1,original_dataset
3,name_cleaning_log
4,data_with_cleaned_names_and_dates
5,date_cleaning_log
7,original_dataset
8,data_with_cleaned_names
9,name_cleaning_log
11,name_cleaning_log
13,local_authority_source_scientificName_list
14,original_dataset
15,scientificName
16,authorship
18,other_fields
20,name_cleaning_log
21,scientificName
22,empty_scientificName
23,nonEmpty_scientificName
24,name_cleaning_log
26,empty_scientificName
27,record_final_status
28,unable-to-validate_record_count
29,name_cleaning_log
30,nonEmpty_scientificName
31,local_authority_source_scientificName_list
32,matching_record
34,record_final_status
36,name_cleaning_log
38,record_final_status
40,unable-to-validate_record_count
41,name_cleaning_log
44,matching_record
46,authorship
48,matching_record
52,authorship
53,name_cleaning_log
55,record_final_status
57,name_cleaning_log
58,other_fields
59,scientificName
60,authorship
63,data_with_cleaned_names
65,unable-to-validate_record_count
66,name_cleaning_log
67,data_with_cleaned_names
69,data_with_cleaned_names_and_dates
70,date_cleaning_log
71,date_cleaning_log
72,data_with_cleaned_names
74,eventDate
76,other_fields
77,date_cleaning_log
78,eventDate
79,empty_eventDate
80,nonEmpty_eventDate
81,date_cleaning_log
83,empty_eventDate
84,unable-to-validate_record_count
85,date_cleaning_log
86,nonEmpty_eventDate
87,compliant_eventDate
88,nonCompliant_eventDate
89,date_cleaning_log
90,nonCompliant_eventDate
91,updated_eventDate
92,date_cleaning_log
94,updated_eventDate
95,compliant_eventDate
96,accepted_record_count
97,date_cleaning_log
98,other_fields
99,updated_eventDate
100,eventDate
101,data_with_cleaned_names_and_dates
102,accepted_record_count
103,unable-to-validate_record_count
104,date_cleaning_log
